id,Total,Orthodox,Muslim,Armenian_Apostolic,Catholic,JW,Yezidi_r,Protestant,Judaism,Other_r,None_r,RA_r,NtA,Georgian,Azeri,Armenian,Russian,Ossetian,Yezidi,Ukrainian,Kist,Greek,Assyrian,Other,RA_E,NA_E
815,22341,22142,45,0,0,32,0,0,0,0,23,0,75,22258,0,0,51,0,0,0,0,0,0,12,0,0
109,16462,11153,3302,104,1619,29,0,0,0,0,140,21,90,15985,13,372,41,11,0,12,0,0,0,22,0,0
400,9139,9089,0,0,0,0,0,0,0,0,0,0,35,9113,0,0,11,0,0,0,0,0,0,0,0,0
616,10372,7760,1207,981,240,29,0,0,0,0,111,0,41,8959,0,1381,12,0,0,0,0,0,0,0,0,0
62,45070,2586,847,35497,5290,35,0,11,15,12,229,28,520,3085,0,41870,54,0,0,0,0,41,0,0,0,0
330,20992,12648,13,3600,4410,51,0,0,0,0,96,43,119,13612,0,7247,69,0,0,0,0,22,0,18,0,0
529,31461,24881,5950,0,17,194,0,47,0,0,85,52,210,24852,91,54,63,696,0,0,5471,0,0,217,0,0
788,21582,21402,11,0,0,61,0,0,0,0,33,0,59,21514,0,0,32,0,0,15,0,0,0,11,0,0
251,53590,16982,33716,1542,100,148,0,0,0,0,182,40,858,16565,33964,2690,135,28,0,41,0,125,0,35,0,0
286,25214,23763,11,981,34,119,0,0,0,0,141,0,152,21990,16,2176,277,338,0,88,0,293,0,31,0,0
470,81876,45055,35145,182,116,126,24,42,0,18,77,157,930,44398,35642,602,414,91,49,74,0,63,281,244,0,14
293,77549,75336,523,0,40,936,0,94,0,0,224,119,260,75160,459,483,149,1162,0,36,0,40,0,47,0,0
434,54337,53656,47,27,0,102,0,75,0,13,191,36,179,53494,48,273,140,267,18,38,0,19,0,36,0,0
234,21221,19880,770,61,0,134,0,0,0,0,107,143,105,19422,288,915,379,37,0,21,0,69,0,80,0,0
476,19141,6492,12340,0,0,28,0,0,0,0,51,0,207,6345,12530,87,67,0,0,0,0,87,0,15,0,0
706,25659,25318,0,0,0,170,0,21,0,0,45,0,79,24946,0,18,39,609,0,17,0,0,0,15,0,0
785,24512,24128,211,0,0,39,0,0,0,0,25,12,85,24465,0,0,31,0,0,0,0,0,0,0,0,0
970,57628,57068,0,0,11,178,0,21,0,0,65,18,250,57365,0,42,119,0,0,38,0,0,31,18,0,0
2,62511,61431,34,0,0,351,0,0,0,14,61,58,540,62340,0,0,104,0,0,38,0,0,0,16,0,0
290,21127,17802,2297,560,24,110,0,0,0,0,66,61,195,17424,1548,1544,277,85,0,18,0,186,0,38,0,0
310,38721,33324,4893,0,0,122,0,0,0,0,73,61,224,33490,4945,46,59,93,0,17,24,0,0,30,0,0
704,35563,35205,43,0,0,37,0,0,0,0,48,11,209,35446,0,13,64,0,0,17,0,0,0,0,0,0
520,9468,9352,0,0,0,36,0,0,0,0,0,15,51,9409,0,0,14,19,0,0,0,0,0,0,0,0
