District,area_mean,altitude_mean,voters_mean,area_max,altitude_max,voters_max,area_min,altitude_min,voters_min,area_sum,altitude_sum,voters_sum,area_median,altitude_median,voters_median,area_sd,altitude_sd,voters_sd
1,.3667513,568.3489,1270.95,3.3263,1325.512,1559,.005,425.0753,202,14.3033,21597.26,48296,.0934,482.3137,1320,.7227485,224.1528,248.99
2,.140874,576.9592,1176.2,2.531,1072.629,1534,.0042,451.1516,338,10.8473,43271.94,88215,.0692,533.8195,1221,.3077638,138.0979,208.811
3,.1738454,469.5132,1351.84,2.2387,577.1985,1546,.0069,426.1794,1108,14.9507,39908.62,114906,.08505,462.8102,1357,.2966767,25.99161,106.666
4,.25545,429.5963,1271.34,1.1585,494.8362,1460,.0075,378.8478,926,8.1744,13747.08,40683,.149,428.9772,1285,.2734542,24.8805,145.389
5,.1056026,473.5824,1344.28,.5647,587.1852,1590,.0015,388.5719,1153,8.0258,35992.26,102165,.0675,462.8355,1348,.1149419,59.64503,97.8627
6,.3736035,483.2201,1140.99,6.9327,832.748,1617,.0091,396.4011,449,42.5908,55087.09,130073,.0716,479.72,1140.5,1.089327,72.91987,189.005
7,.1230659,451.1188,1286.9,.5323,583.9351,1514,.033,410.1766,789,5.0457,18495.87,52763,.087,438.3709,1339,.1019057,36.81847,172.459
8,.1195927,423.8513,1167.35,1.4859,437.6445,1579,.021,415.9282,761,6.5776,22887.97,63037,.0597,423.4723,1184.5,.2319685,5.492936,175.116
9,.1270011,494.2349,1284.61,.8652,591.0652,1472,.0113,436.3424,433,11.9381,46458.08,120753,.1082,488.194,1288.5,.1080451,35.32927,133.833
10,.1524829,499.9988,1187.64,2.0423,604.6146,1548,.0159,420.2889,822,16.9256,54499.87,129453,.0483,496.7251,1186,.2845865,30.47775,131.631
11,12.08347,683.4333,910.204,223.137,1173.344,1565,.3079,436.6741,80,592.09,33488.23,44600,6.2982,673.2786,932,31.52927,145.237,365.48
12,6.052712,501.9945,1063.45,63.7975,1006.835,1548,.8034,289.6944,59,308.6883,25601.72,54236,2.88,458.9192,1098,10.32318,159.5387,372.231
13,3.868547,534.5344,887.667,10.5616,944.6286,1468,.0011,227.7766,26,139.2677,19243.24,31956,2.69955,476.9382,905.5,3.007947,214.1374,391.527
14,20.80237,657.1816,980.652,121.029,858.8518,1411,.8444,204.5634,355,478.4544,15115.18,22555,8.9416,701.787,1044,27.9631,188.0828,303.295
15,9.597646,315.2593,1098.97,84.4917,522.9072,1711,.5184,219.7466,434,335.9176,11034.08,38464,5.4817,314.3918,1188,14.26771,79.21912,376.438
16,6.842183,403.4055,965.8,19.1425,654.4183,1544,.6121,254.3184,264,205.2655,12102.16,28974,4.4651,414.4334,1198,5.449964,106.5532,432.284
17,4.99028,588.231,1033.44,18.9884,1425.737,1516,.2843,392.5169,113,269.4751,31764.48,55806,4.13195,570.4844,1062,4.6077,156.0644,354.375
18,44.2968,625.6335,1039.1,948.907,2040.635,1613,1.0881,427.9899,28,1284.607,18143.37,30134,9.458,550.0172,1133,174.2534,291.8966,446.107
19,12.57574,1152.018,538.1,25.7379,1315.21,1152,2.4556,1025.506,107,251.5148,23040.36,10762,12.0397,1157.959,477,6.464691,74.96581,329.918
20,.7188357,346.3932,1201.69,4.9661,430.9718,1453,.0336,316.1982,735,60.3822,29097.03,100942,.2852,345.0231,1236.5,.9212459,19.53897,162.139
21,14.9762,516.1505,1118.53,100.888,1283.194,1819,1.3552,267.9058,59,928.5242,32001.33,69349,8.971251,413.3975,1257.5,18.6168,259.2253,409.539
22,7.235032,441.2362,1081.41,56.4406,1109.5,1953,.2962,291.4547,186,622.2127,37946.31,93001,4.96155,381.4406,1148,8.606029,178.5135,380.901
23,6.648805,631.645,890.226,26.778,956.3199,1860,.4213,393.2116,118,412.2259,39161.99,55194,4.8939,623.8328,971,5.864234,148.3101,448.078
24,11.70478,1315.635,439.42,62.6153,1728.416,1354,.6064,890.426,26,585.2388,65781.75,21971,9.8833,1325.699,379.5,10.38684,199.2545,310.719
25,13.62964,1665.657,509.844,41.402,2011.748,1494,1.3675,1326.132,43,613.334,74954.57,22943,10.8196,1632.867,441,9.503751,136.4615,343.954
26,22.39279,969.7017,515.293,85.4052,1541.263,1244,.9188,518.4852,42,918.1045,39757.77,21127,13.7185,905.2497,398,22.65122,290.8598,348.36
27,11.2687,694.2231,1001.35,48.8936,1707.12,1456,.6171,470.5487,179,484.5542,29851.59,43058,6.7684,582.2234,973,12.13837,255.5225,335.977
28,38.2354,1189.721,484.113,594.257,2833.195,1422,.484,650.9893,72,2026.477,63055.19,25658,20.0283,1061.183,351,81.71067,408.575,371.443
29,74.19348,2430.443,536.2,237.435,3440.768,1443,16.9498,1753.161,101,741.9348,24304.43,5362,48.3553,2355.374,488.5,67.99764,617.1401,404.038
30,10.07756,650.8452,1028.76,31.7999,883.3673,1516,.3654,517.2993,143,382.9471,24732.12,39093,8.20455,608.5175,1106,8.339858,111.2816,381.159
32,7.100307,717.8613,1014.76,48.7973,1555.256,1569,.0245,577.0194,189,745.5323,75375.44,106550,5.8215,698.6324,1115,8.205132,147.0419,365.746
33,10.52526,724.2988,939.077,64.1432,1220.92,1574,.6021,620.9862,125,410.4851,28247.65,36624,7.889,679.1543,1040,11.45616,135.6494,460.468
35,6.265173,759.5894,942.423,26.6852,959.2326,1564,.1215,660.2495,35,325.789,39498.65,49006,2.4689,740.0898,996.5,7.600637,72.55937,347.297
36,11.3549,1205.388,900.4,65.0244,2171.15,1534,.0526,843.5459,174,340.6471,36161.63,27012,5.0648,982.6871,913,16.92758,435.9672,325.111
37,9.58424,1128.106,985.143,41.4073,1712.366,1444,.0571,942.8385,322,335.4484,39483.71,34480,4.8979,1050.729,1083,11.12005,195.9984,330.527
