District,dis_name,popul14,female_n,female_p,urban_n,urban_p,orthod_n,orthod_p,muslim_n,muslim_p,georg_n,georg_p,azer_n,azer_p,armen_n,armen_p,dist_tbs,dist_bat,dist_kut,dist_rus,dist_zug,dist_gor,dist_pot,dist_intern_road,dist_sec_road,,,,,,,
1,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
2,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
3,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
4,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
5,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
6,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
7,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
8,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
9,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
10,Tbilisi,1108717,605827,0.55,1078305,0.97,1024931,0.92,16268,0.01,996804,0.90,15187,0.01,53409,0.05,,265794.3587,187404.2048,20239.70489,260553.0067,67597.4615,266419.8113,828.8909466,1046.1417,,,,,,,
63,Abasha,22341,11628,0.52,4941,0.22,22142,0.99,45,0.00,22258,1.00,0,0.00,0,0.00,224942.1039,77971.89871,41926.09146,241706.7819,43158.68173,159740.7408,44333.17189,785.0676112,979.0458603,,,,,,,
38,Adigeni,16462,8240,0.50,1720,0.10,11153,0.68,3302,0.20,15985,0.97,13,0.00,372,0.02,177501.0451,88305.03606,65485.30145,190957.7472,114208.2209,122067.7768,99132.35146,15602.94225,444.4667862,,,,,,,
40,Akhalkalaki,45070,22927,0.51,8295,0.18,2586,0.06,847,0.02,3085,0.07,0,0.00,41870,0.93,116545.4331,156397.5289,115765.6158,126031.0055,180948.1722,82232.34244,171270.2653,29.25716265,65.54532862,,,,,,,
37,Akhaltsikhe,38895,20104,0.52,21549,0.55,26454,0.68,153,0.00,26450,0.68,53,0.00,12028,0.31,153633.6181,112300.6326,74094.23756,166680.0128,133345.438,100950.5289,122451.0229,28.02958321,453.1889726,,,,,,,
18,Akhmeta,31461,15829,0.50,7105,0.23,24881,0.79,5950,0.19,24852,0.79,91,0.00,54,0.00,48855.17024,299472.7357,208529.4404,56405.23011,279909.7561,90913.40663,292505.1461,33135.63308,87.00266191,,,,,,,
44,Ambrolauri,11186,5685,0.51,2047,0.18,11121,0.99,0,0.00,11152,1.00,0,0.00,0,0.00,166063.2324,158572.6928,46097.73469,185514.8357,105161.3181,99023.78084,128910.1799,41592.61012,226.435144,,,,,,,
