Area	PopTot	Higher	PhD	MA	BA	Voc1	Voc2	Voc3	HiS1	HiS2	Middle	Liter	Illit	NI
საქართველო	3228691	0.267421689	15755	397071	450596	359944	109407	92767	1183967	272789	184022	104492	12576	45305
ქ. თბილისი	957011	0.444807844	10522	210078	205086	87818	29917	19815	256718	51808	39412	29367	1136	15334
გლდანის რაიონი	151209	0.36839077	723	23153	31828	18087	5529	3145	45844	8766	6544	4659	209	2722
დიდუბის რაიონი	61156	0.560386552	712	24342	9217	4556	1631	775	12815	2648	2215	1681	26	538
ვაკის რაიონი	97697	0.642343163	3007	37084	22664	4521	1778	1058	15575	4114	3584	2805	56	1451
ისნის რაიონი	107908	0.356081106	548	12899	24977	10830	3975	3423	33713	6615	4749	3456	135	2588
კრწანისის რაიონი	33595	0.338562286	209	4237	6928	2511	1087	813	11843	2374	1662	1317	98	516
მთაწმინდის რაიონი	43268	0.555630027	943	14069	9029	3182	865	760	8906	2121	1680	1210	54	449
ნაძალადევის რაიონი	133267	0.396137078	732	24774	27286	15486	4690	2915	39047	7360	5601	3864	253	1259
საბურთალოს რაიონი	120298	0.588156079	2575	33923	34256	6444	3384	2097	22110	5526	4199	3945	83	1756
სამგორის რაიონი	151251	0.323310259	496	21323	27082	17133	5606	4006	50960	9498	6955	4952	175	3065
ჩუღურეთის რაიონი	57362	0.464941948	577	14274	11819	5068	1372	823	15905	2786	2223	1478	47	990
აჭარის ავტონომიური რესპუბლიკა	287981	0.223674479	1000	18777	44637	32204	11143	8444	112369	26884	17426	8977	798	5322
ქ. ბათუმი	131016	0.307519692	648	11810	27832	17790	6305	4049	40584	8936	6478	3796	141	2647
ქედის მუნიციპალიტეტი	14657	0.152896227	18	763	1460	1404	470	306	6572	1896	1131	483	65	89
ქობულეთის მუნიციპალიტეტი	64659	0.167927125	113	3115	7630	6765	2099	2108	28820	6835	4095	1910	203	966
შუახევის მუნიციპალიტეტი	13279	0.128925371	29	750	933	924	310	302	6400	1460	1224	491	125	331
ხელვაჩაურის მუნიციპალიტეტი	44224	0.151772793	121	1477	5114	3960	1577	1234	20911	4634	2717	1458	127	894
ხულოს მუნიციპალიტეტი	20146	0.129107515	71	862	1668	1361	382	445	9082	3123	1781	839	137	395
გურია  	100738	0.161408803	231	7163	8866	14141	5108	4203	40312	10266	5849	2727	352	1520
ქ. ოზურგეთი	13063	0.279951007	62	2105	1490	1589	771	640	4567	683	601	340	34	181
ლანჩხუთის მუნიციპალიტეტი	28092	0.173679339	30	1993	2856	4493	1733	1307	9630	3361	1508	726	78	377
ოზურგეთის მუნიციპალიტეტი	42646	0.126553487	102	2183	3112	5357	1784	1774	18657	4708	2857	1198	171	743
ჩოხატაურის მუნიციპალიტეტი	16937	0.13739151	37	882	1408	2702	820	482	7458	1514	883	463	69	219
იმერეთი	468808	0.221941605	1139	47343	55566	62147	16244	15982	192759	34593	24633	12529	1183	4690
ქ. ქუთაისი	126038	0.355948206	616	21683	22564	16188	3996	2757	40669	6661	5825	3646	136	1297
ბაღდათის მუნიციპალიტეტი 	19209	0.18501744	20	1881	1653	2395	377	626	9333	1372	930	449	45	128
