Area	PopTot	WHCP	ARMY	WHC1	WHC2	WHC3	BLC1	BLC2	BLC3	BLC4	BLC5	BLC6	NOI
საქართველო	1614325	385533	12830	85596	211487	88450	50461	146421	735400	93579	66258	85507	38336
ქ. თბილისი	360226	186135	4996	49744	93868	42523	23906	57895	3767	31129	18579	21856	11963
გლდანის რაიონი	54738	22664	800	5095	11432	6137	3628	11198	607	6541	3975	4011	1314
დიდუბის რაიონი	23979	15202	179	4406	7676	3120	1770	3165	100	1185	794	891	693
ვაკის რაიონი	40174	29078	344	9163	14732	5183	2666	3246	443	1344	899	1072	1082
ისნის რაიონი	38768	16627	734	3977	8197	4453	2466	7581	214	4624	2312	2758	1452
კრწანისის რაიონი	11972	4748	192	1183	2455	1110	705	2271	139	1237	836	1041	803
მთაწმინდის რაიონი	16697	10757	130	3217	5539	2001	1028	1881	483	662	431	686	639
ნაძალადევის რაიონი	48637	22784	619	5571	11393	5820	3434	8832	286	5138	2859	3484	1201
საბურთალოს რაიონი	48240	32124	351	9611	16360	6153	3246	4695	506	1869	1425	1587	2437
სამგორის რაიონი	56487	21241	1372	4777	10420	6044	3498	11607	894	6993	4216	5010	1656
ჩუღურეთის რაიონი	20534	10910	275	2744	5664	2502	1465	3419	95	1536	832	1316	686
აჭარის ავტონომიური რესპუბლიკა	143431	31863	557	6421	17478	7964	4324	14284	61441	8924	7962	8123	5953
ქ. ბათუმი	52676	19747	339	4454	9871	5422	2933	8858	4519	4952	4696	4173	2459
ქედის მუნიციპალიტეტი	8913	1364	17	184	956	224	124	401	6045	258	279	317	108
ქობულეთის მუნიციპალიტეტი	38011	4597	93	794	2724	1079	600	2405	24854	1880	1049	1297	1236
შუახევის მუნიციპალიტეტი	6921	1402	33	162	1038	202	109	215	4239	97	165	591	70
ხელვაჩაურის მუნიციპალიტეტი	23807	2962	72	598	1589	775	394	2101	12157	1527	1492	1238	1864
ხულოს მუნიციპალიტეტი	13103	1791		229	1300	262	164	304	9627	210	281	507	216
გურია  	63276	7838	96	1303	4884	1651	890	2946	45086	1748	1338	2198	1136
ქ. ოზურგეთი	5520	1976		415	1108	453	224	755	1366	372	204	361	253
ლანჩხუთის მუნიციპალიტეტი	17450	2095	51	310	1313	472	212	937	12234	522	461	604	334
ოზურგეთის მუნიციპალიტეტი	28932	2449	26	370	1555	524	328	980	22570	761	482	996	340
ჩოხატაურის მუნიციპალიტეტი	11374	1318		208	908	202	126	274	8916	93	191	237	209
იმერეთი	255635	44821	1847	8373	26239	10209	5930	18142	146080	15457	9885	9847	3626
ქ. ქუთაისი	43228	18555	872	4009	10020	4526	2435	7532	2401	5053	2470	2831	1079
ბაღდათის მუნიციპალიტეტი 	12232	1492	33	290	905	297	187	586	8985	403	249	273	24
ვანის მუნიციპალიტეტი	15182	1463	22	231	943	289	145	387	12260	285	214	221	185
ზესტაფონის მუნიციპალიტეტი	30059	4218	64	689	2658	871	589	2072	18040	2000	1596	1177	303
თერჯოლის მუნიციპალიტეტი	23511	2244	47	419	1373	452	310	887	17663	918	666	672	104
სამტრედიის მუნიციპალიტეტი	22940	3487	464	609	2042	836	642	1807	13103	1011	904	797	725
საჩხერის მუნიციპალიტეტი	22613	2621	47	396	1723	502	319	907	15933	1286	573	865	62
ტყიბულის მუნიციპალიტეტი	11411	1870	22	339	1108	423	190	670	6151	1037	583	819	69
წყალტუბოს მუნიციპალიტეტი	28738	3050	106	573	1734	743	337	1392	20743	1046	587	862	615
ჭიათურის მუნიციპალიტეტი 	22021	2960	19	346	1909	705	476	904	13336	1815	1551	703	257
ხარაგაულის მუნიციპალიტეტი	10951	1291	14	196	842	253	144	340	8246	243	269	362	42
ხონის მუნიციპალიტეტი	12749	1570	137	276	982	312	156	658	9219	360	223	265	161
კახეთი 	172641	21844	548	3561	13268	5015	2771	10399	110986	7234	5022	11892	1945
ქ. თელავი	7353	3141	117	647	1686	808	439	1266	639	685	402	564	100
ახმეტის მუნიციპალიტეტი	15727	1847	21	292	1209	346	225	783	10722	891	326	793	119
გურჯაანის მუნიციპალიტეტი	27399	3649	63	573	2200	876	437	1681	17141	1117	707	1948	656
დედოფლისწყაროს მუნიციპალიტეტი	13014	1692	49	276	980	436	206	795	8418	470	508	767	109
თელავის მუნიციპალიტეტი	21720	2337	122	373	1360	604	331	1736	12806	1332	957	1966	133
ლაგოდეხის მუნიციპალიტეტი	27524	2184	25	308	1400	476	280	764	23088	399	295	408	81
საგარეჯოს მუნიციპალიტეტი	24130	2568	116	404	1652	512	340	1382	14036	945	850	3378	515
სიღნაღის მუნიციპალიტეტი 	17481	2211	15	360	1413	438	271	1160	11641	671	519	911	82
ყვარლის მუნიციპალიტეტი	18293	2215	20	328	1368	519	242	832	12495	724	458	1157	150
მცხეთა-მთიანეთი	46832	7525	274	1371	4259	1895	980	3771	25667	2363	2347	2966	939
ქ. მცხეთა	3122	1282	45	319	628	335	183	502	294	226	193	294	103
დუშეთის მუნიციპალიტეტი	15084	1871	65	310	1132	429	236	844	10074	584	576	749	85
თიანეთის მუნიციპალიტეტი	5122	708		121	463	124	81	183	3767	81	96	153	52
მცხეთის  მუნიციპალიტეტი	21555	3151	156	525	1748	878	416	2029	10694	1397	1404	1641	667
ყაზბეგის მუნიციპალიტეტი	1949	513		96	288	129	64	213	838	75	78	129	32
რაჭა-ლეჩხუმი და ქვემო სვანეთი	21974	3760	39	681	2356	723	391	797	15541	417	378	525	126
ქ. ამბროლაური	1050	487		121	257	109	66	112	196	47	45	66	29
ამბროლაურის მუნიციპალიტეტი	6293	718		139	441	138	96	198	4830	150	126	142	30
ლენტეხის მუნიციპალიტეტი	2928	674		105	466	103	56	93	1986	21	28	56	
ონის მუნიციპალიტეტი	4411	614	21	124	348	142	61	170	3286	77	74	87	21
ცაგერის მუნიციპალიტეტი	7292	1267		192	844	231	112	224	5243	122	105	174	37
