Prec_ID	Settype	District_name	District	Precint	Attached	Total_Voters	Special_voters	Turnout12	Turnout17	Turnout	Free_georgia	NDP	UNM	Just_georgia	CDM	Popular_movement	Freedom_Zviadi	Georgian_troupe	New_rights	Peoples_party	Kostava_society	Future_georgia	Georgian_workers	Labor	Sportsmens_union	GDC	Annulled
1001	Capital	მთაწმინდის	1	1		1481	8	444	829	948	8	2	262	0	20	0	2	1	9	0	1	1	0	10	0	620	10
1002	Capital	მთაწმინდის	1	2		1299	12	296	731	855	0	0	239	1	12	0	0	2	4	0	0	0	0	7	1	562	27
1003	Capital	მთაწმინდის	1	3		1470	10	375	895	1006	4	0	287	2	17	0	0	5	5	0	2	0	1	10	3	640	29
1004	Capital	მთაწმინდის	1	4		1178	12	369	744	804	5	4	197	0	11	0	0	2	6	0	1	0	0	11	0	548	19
1005	Capital	მთაწმინდის	1	5		1500	9	421	956	1064	6	1	284	0	13	0	2	2	5	0	1	0	1	13	1	709	26
1006	Capital	მთაწმინდის	1	6		1489	12	385	883	998	10	1	213	0	20	0	0	1	8	0	0	0	1	11	2	698	33
1007	Capital	მთაწმინდის	1	7	41	1470	1368	753	1861	2204	13	3	1259	1	21	0	1	3	4	1	2	0	0	17	0	828	49
1008	Capital	მთაწმინდის	1	8	40	1141	22	695	1586	1792	4	0	1006	0	21	0	0	6	7	0	1	0	0	17	0	664	66
1009	Capital	მთაწმინდის	1	9		1394	12	413	840	962	12	1	286	0	12	0	1	5	4	0	1	0	0	8	0	609	23
1010	Capital	მთაწმინდის	1	10		1595	6	338	900	1072	13	4	249	0	14	0	0	4	10	1	0	0	0	10	1	740	26
1011	Capital	მთაწმინდის	1	11		1623	6	422	947	1072	5	2	286	0	12	0	1	2	4	0	3	0	3	13	0	719	21
1012	Capital	მთაწმინდის	1	12		1559	10	376	939	1098	6	0	275	1	8	0	0	1	12	1	0	0	3	15	3	745	28
1013	Capital	მთაწმინდის	1	13		1322	9	345	740	833	4	0	175	2	6	0	0	3	2	0	1	0	0	6	1	602	30
1014	Capital	მთაწმინდის	1	14		1281	11	335	746	863	12	2	225	1	15	0	1	2	7	0	0	0	3	10	0	566	19
1015	Capital	მთაწმინდის	1	15		1313	9	324	794	915	5	1	256	0	12	0	1	2	1	0	1	0	1	14	0	587	33
1016	Capital	მთაწმინდის	1	16		1577	8	431	944	1081	6	2	314	0	12	0	1	4	4	0	2	0	2	13	1	681	39
1017	Capital	მთაწმინდის	1	17		1122	11	314	625	724	1	1	166	0	8	0	3	3	8	2	0	0	0	7	4	495	26
