Precinct_ID	Settlement_type	District	Precinct	District_Name	Total_Voters	Turnout	Levan_Gachechiladze	Davit_Gamkrelidze	Shalva_Natelashvili	Mikheil_Saakashvili	Giorgi_Maisashvili	Irina_Sarishvili	Arkadi_Patarkatsishvili
1001	Huge(>1000K)	1	1	მთაწმინდა	1457	721	326	51	36	178	17	4	54
1002	Huge(>1000K)	1	2	მთაწმინდა	1266	708	349	28	37	182	11	3	52
1003	Huge(>1000K)	1	3	მთაწმინდა	1385	737	289	51	31	216	23	3	44
1004	Huge(>1000K)	1	4	მთაწმინდა	1147	647	274	47	35	156	10	4	48
1005	Huge(>1000K)	1	5	მთაწმინდა	1467	682	316	58	47	169	15	4	23
1006	Huge(>1000K)	1	6	მთაწმინდა	2907	1931	474	77	79	1085	19	4	60
1007	Huge(>1000K)	1	7	მთაწმინდა	1351	742	324	49	27	213	21	5	50
1008	Huge(>1000K)	1	8	მთაწმინდა	1562	947	386	52	62	342	10	1	69
1009	Huge(>1000K)	1	9	მთაწმინდა	1554	754	348	58	34	217	11	0	33
1010	Huge(>1000K)	1	10	მთაწმინდა	1654	805	385	86	38	194	13	1	36
1011	Huge(>1000K)	1	11	მთაწმინდა	1540	839	372	41	53	265	17	1	23
1012	Huge(>1000K)	1	12	მთაწმინდა	1538	849	444	74	34	245	18	4	19
1013	Huge(>1000K)	1	13	მთაწმინდა	1300	663	303	41	36	148	12	2	47
1014	Huge(>1000K)	1	14	მთაწმინდა	1335	729	329	50	33	206	15	10	39
1015	Huge(>1000K)	1	15	მთაწმინდა	1321	702	336	46	39	208	17	2	19
1016	Huge(>1000K)	1	16	მთაწმინდა	1496	840	380	58	30	243	12	0	49
1017	Huge(>1000K)	1	17	მთაწმინდა	1596	804	397	75	30	190	15	0	42
1018	Huge(>1000K)	1	18	მთაწმინდა	1382	731	366	67	23	171	20	1	38
1019	Huge(>1000K)	1	19	მთაწმინდა	1245	662	300	54	32	198	15	0	27
1020	Huge(>1000K)	1	20	მთაწმინდა	1741	938	505	51	41	210	25	3	37
1021	Huge(>1000K)	1	21	მთაწმინდა	1637	966	462	85	37	266	14	2	38
1022	Huge(>1000K)	1	22	მთაწმინდა	1426	831	392	81	36	205	16	2	43
1023	Huge(>1000K)	1	23	მთაწმინდა	1610	954	468	95	32	222	27	1	44
1024	Huge(>1000K)	1	24	მთაწმინდა	1584	834	365	42	26	246	23	0	49
1025	Huge(>1000K)	1	25	მთაწმინდა	1629	656	288	49	27	200	10	2	42
1026	Huge(>1000K)	1	26	მთაწმინდა	996	552	292	20	27	171	9	1	27
1027	Huge(>1000K)	1	27	მთაწმინდა	1394	842	420	82	15	180	20	1	45
1028	Huge(>1000K)	1	28	მთაწმინდა	1363	833	422	84	21	205	15	1	22
1029	Huge(>1000K)	1	29	მთაწმინდა	1417	914	435	79	25	212	15	2	30
1030	Huge(>1000K)	1	30	მთაწმინდა	1431	872	424	103	11	213	14	2	22
1031	Huge(>1000K)	1	31	მთაწმინდა	1021	601	299	48	34	148	7	2	15
1032	Huge(>1000K)	1	32	მთაწმინდა	1100	638	204	36	43	268	6	1	42
1033	Huge(>1000K)	1	33	მთაწმინდა	1751	327	79	12	10	113	5	0	15
2001	Huge(>1000K)	2	1	ვაკე	1531	895	404	114	15	226	12	0	28
2002	Huge(>1000K)	2	2	ვაკე	1382	841	426	93	26	217	9	2	25
2003	Huge(>1000K)	2	3	ვაკე	1505	908	492	101	23	230	25	2	30
2004	Huge(>1000K)	2	4	ვაკე	1475	928	496	114	16	246	22	0	23
2005	Huge(>1000K)	2	5	ვაკე	1230	793	417	110	15	176	9	0	26
2006	Huge(>1000K)	2	6	ვაკე	1506	947	490	122	18	259	21	0	26
2007	Huge(>1000K)	2	7	ვაკე	1345	817	391	127	20	193	20	1	26
2008	Huge(>1000K)	2	8	ვაკე	1446	831	394	78	45	214	12	3	37
2009	Huge(>1000K)	2	9	ვაკე	1342	777	429	59	25	163	21	1	22
2010	Huge(>1000K)	2	10	ვაკე	1467	967	546	81	26	239	17	4	33
2011	Huge(>1000K)	2	11	ვაკე	1482	983	519	98	18	243	15	3	36
2012	Huge(>1000K)	2	12	ვაკე	1453	893	472	101	26	225	22	2	37
2013	Huge(>1000K)	2	13	ვაკე	1541	1021	538	78	25	273	19	2	28
2014	Huge(>1000K)	2	14	ვაკე	1322	816	426	62	22	191	10	1	34
2015	Huge(>1000K)	2	15	ვაკე	1415	889	461	88	38	212	17	1	33
2016	Huge(>1000K)	2	16	ვაკე	1442	830	375	53	43	255	10	2	26
2017	Huge(>1000K)	2	17	ვაკე	1390	910	472	88	22	219	14	3	29
2018	Huge(>1000K)	2	18	ვაკე	1103	727	291	81	37	228	10	3	19
2019	Huge(>1000K)	2	19	ვაკე	1271	457	149	15	29	203	2	2	26
2020	Huge(>1000K)	2	20	ვაკე	304	199	43	10	12	123	0	0	3
2021	Huge(>1000K)	2	21	ვაკე	745	96	27	4	2	18	1	0	4
2022	Huge(>1000K)	2	22	ვაკე	1692	819	307	36	57	247	17	3	59
2023	Huge(>1000K)	2	23	ვაკე	1346	830	461	61	23	238	16	3	17
2024	Huge(>1000K)	2	24	ვაკე	1536	865	416	43	36	312	11	1	32
2025	Huge(>1000K)	2	25	ვაკე	1534	928	438	60	41	282	24	5	35
2026	Huge(>1000K)	2	26	ვაკე	1419	901	466	86	37	251	12	0	39
2027	Huge(>1000K)	2	27	ვაკე	1490	936	454	84	19	243	27	0	63
2028	Huge(>1000K)	2	28	ვაკე	1893	1234	546	65	34	499	19	7	43
2029	Huge(>1000K)	2	29	ვაკე	1378	822	390	52	35	257	27	1	36
2030	Huge(>1000K)	2	30	ვაკე	1484	862	436	73	21	229	19	1	27
2031	Huge(>1000K)	2	31	ვაკე	1401	827	430	59	31	187	7	2	27
2032	Huge(>1000K)	2	32	ვაკე	1557	968	444	63	50	240	21	0	33
2033	Huge(>1000K)	2	33	ვაკე	1538	898	388	71	43	263	24	4	45
