Area	Total	მართლმადიდებელი	მუსლიმური	სომხური-სამოციქულო	კათოლიკური	იეღოვას მოწმე	იეზიდური	პროტესტანტული	იუდეური	სხვა	არცერთი		
საქართველო	3713804	3097573	398677	109041	19195	12395	8591	2520	1417	1429	19080	9635	34251
ქ. თბილისი	1108717	1024931	16268	29368	1662	3979	8124	1174	1016	973	4971	2429	13822
აჭარის ავტონომიური რესპუბლიკა	333953	182041	132852	1082	147	175	25	148	59	50	9233	4217	3924
ქ. ბათუმი	152839	105004	38762	916	102	111	23	90	55	27	3961	1508	2280
ქედის მუნიციპალიტეტი	16760	5235	10411	0			0		0	0	624	342	136
ქობულეთის მუნიციპალიტეტი	74794	48696	21573	117	17	51		45		20	2728	848	694
შუახევის მუნიციპალიტეტი	15044	3532	11193				0	0	0	0	76	153	82
ხელვაჩაურის მუნიციპალიტეტი	51189	18618	28841	41	23		0				1816	1277	558
ხულოს მუნიციპალიტეტი	23327	956	22072				0		0	0	28	89	174
გურია  	113350	98330	12951	144	306	107	12	64		28	368	198	839
ქ. ოზურგეთი	14785	14247	77	50	141	18		17			74	19	127
ლანჩხუთის მუნიციპალიტეტი	31486	28301	2790	26		50	0	22	0		56	55	171
ოზურგეთის მუნიციპალიტეტი	48078	39426	7649	65	158	19		24			232	106	392
ჩოხატაურის მუნიციპალიტეტი	19001	16356	2435			20	0		0	11		18	149
იმერეთი	533906	527531	931	67	158	1473	0	139	93	73	711	282	2448
ქ. ქუთაისი	147635	145683	104	16	42	499	0	67	68		234	113	800
ბაღდათის მუნიციპალიტეტი 	21582	21402	11			61	0	0		0	33		59
ვანის მუნიციპალიტეტი	24512	24128	211			39	0				25	12	85
ზესტაფონის მუნიციპალიტეტი	57628	57068			11	178	0	21	0		65	18	250
თერჯოლის მუნიციპალიტეტი	35563	35205	43			37	0			0	48	11	209
სამტრედიის მუნიციპალიტეტი	48562	47812	203	19	20	146	0	0	14	22	22	27	277
საჩხერის მუნიციპალიტეტი	37775	37339				156	0	24		13	46	21	163
ტყიბულის მუნიციპალიტეტი	20839	20669				43	0	0	0	0	40	21	53
წყალტუბოს მუნიციპალიტეტი	56883	56277	71		24	57	0	13		13	121	19	283
ჭიათურის მუნიციპალიტეტი 	39884	39515			33	141	0	0	0		34	15	131
ხარაგაულის მუნიციპალიტეტი	19473	19320	0			84	0		0	0		13	40
ხონის მუნიციპალიტეტი	23570	23113	269			32	0	0	0		37		98
