Area	total	total_male	total_female	urban_all	urban_male	urban_female	rural_all	rural_male	rural_female	ID
გურია	113350	54660	58690	31904	14882	17022	81446	39778	41668	
კახეთი	318583	156154	162429	71526	33466	38060	247057	122688	124369	
მცხეთამთიანეთი	94573	47645	46928	21259	10199	11060	73314	37446	35868	
რაჭალეჩხუმი და ქვემო სვანეთი	32089	15584	16505	6970	3210	3760	25119	12374	12745	
სამეგრელოზემო სვანეთი	330761	159070	171691	129391	60021	69370	201370	99049	102321	
სამცხეჯავახეთი	160504	78521	81983	54663	25870	28793	105841	52651	53190	
ქვემო ქართლი 	423986	208532	215454	180118	86395	93723	243868	122137	121731	
ხულოს მუნიციპალიტეტი	23327	11612	11715	1007	466	541	22320	11146	11174	84
ხელვაჩაურის მუნიციპალიტეტი	51189	25612	25577				51189	25612	25577	83
შუახევის მუნიციპალიტეტი	15044	7555	7489	797	388	409	14247	7167	7080	82
ქობულეთის მუნიციპალიტეტი	74794	36982	37812	28621	13856	14765	46173	23126	23047	81
ქედის მუნიციპალიტეტი	16760	8410	8350	1510	730	780	15250	7680	7570	80
ქ. ბათუმი	152839	72757	80082	152839	72757	80082				79
ქ. ფოთი	41465	19549	21916	41465	19549	21916				70
ჩხოროწყუს მუნიციპალიტეტი	22309	11037	11272	3141	1517	1624	19168	9520	9648	69
წალენჯიხის მუნიციპალიტეტი	26158	12677	13481	4610	2139	2471	21548	10538	11010	68
ქ. ზუგდიდი	42998	19746	23252	42998	19746	23252				67
ზუგდიდის მუნიციპალიტეტი	62511	30560	31951				62511	30560	31951	67
ხობის მუნიციპალიტეტი	30548	15009	15539	4242	1953	2289	26306	13056	13250	66
მარტვილის მუნიციპალიტეტი	33463	16433	17030	4425	2057	2368	29038	14376	14662	65
სენაკის მუნიციპალიტეტი	39652	18704	20948	21596	9853	11743	18056	8851	9205	64
აბაშის მუნიციპალიტეტი	22341	10713	11628	4941	2260	2681	17400	8453	8947	63
ჩოხატაურის მუნიციპალიტეტი	19001	9203	9798	1815	815	1000	17186	8388	8798	62
ლანჩხუთის მუნიციპალიტეტი	31486	15234	16252	6395	2985	3410	25091	12249	12842	61
ქ. ოზურგეთი	14785	6666	8119	14785	6666	8119				60
ოზურგეთის მუნიციპალიტეტი	48078	23557	24521	8909	4416	4493	39169	19141	20028	60
ქ. ქუთაისი	147635	69194	78441	147635	69194	78441				59
წყალტუბოს მუნიციპალიტეტი	56883	28343	28540	11281	5124	6157	45602	23219	22383	58
ტყიბულის მუნიციპალიტეტი	20839	10107	10732	9770	4622	5148	11069	5485	5584	57
ჭიათურის მუნიციპალიტეტი	39884	19412	20472	12803	5885	6918	27081	13527	13554	56
ხონის მუნიციპალიტეტი	23570	11469	12101	8987	4191	4796	14583	7278	7305	55
სამტრედიის მუნიციპალიტეტი	48562	23086	25476	27020	12607	14413	21542	10479	11063	54
ვანის მუნიციპალიტეტი	24512	12072	12440	3744	1753	1991	20768	10319	10449	53
ბაღდათის მუნიციპალიტეტი	21582	10628	10954	3707	1793	1914	17875	8835	9040	52
ზესტაფონის მუნიციპალიტეტი	57628	28082	29546	20814	9790	11024	36814	18292	18522	51
საჩხერის მუნიციპალიტეტი	37775	18808	18967	6140	2931	3209	31635	15877	15758	50
თერჯოლის მუნიციპალიტეტი	35563	17770	17793	4644	2233	2411	30919	15537	15382	49
ხარაგაულის მუნიციპალიტეტი	19473	9627	9846	1965	879	1086	17508	8748	8760	48
მესტიის მუნიციპალიტეტი	9316	4642	4674	1973	947	1026	7343	3695	3648	47
ლენტეხის მუნიციპალიტეტი	4386	2119	2267	947	423	524	3439	1696	1743	46
ცაგერის მუნიციპალიტეტი	10387	5070	5317	1320	611	709	9067	4459	4608	45
ქ. ამბროლაური	2047	959	1088	2047	959	1088				44
ამბროლაურის მუნიციპალიტეტი	9139	4542	4597				9139	4542	4597	44
ონის მუნიციპალიტეტი	6130	2894	3236	2656	1217	1439	3474	1677	1797	43
ნინოწმინდის მუნიციპალიტეტი 	24491	12186	12305	5144	2482	2662	19347	9704	9643	41
ახალქალაქის მუნიციპალიტეტი	45070	22143	22927	8295	3912	4383	36775	18231	18544	40
ასპინძის მუნიციპალიტეტი	10372	5149	5223	2793	1358	1435	7579	3791	3788	39
ადიგენის მუნიციპალიტეტი 	16462	8222	8240	1720	801	919	14742	7421	7321	38
ქ. ახალციხე	17903	8500	9403	17903	8500	9403				37
ახალციხის მუნიციპალიტეტი	20992	10291	10701	3646	1763	1883	17346	8528	8818	37
ბორჯომის მუნიციპალიტეტი	25214	12030	13184	15162	7054	8108	10052	4976	5076	36
ხაშურის მუნიციპალიტეტი	52603	25519	27084	33627	16101	17526	18976	9418	9558	35
ქარელის მუნიციპალიტეტი	41316	20410	20906	10018	4810	5208	31298	15600	15698	33
ქ. გორი	48143	22141	26002	48143	22141	26002				32
გორის მუნიციპალიტეტი	77549	38603	38946				77549	38603	38946	32
კასპის მუნიციპალიტეტი	43771	21609	22162	13423	6486	6937	30348	15123	15225	30
ყაზბეგის მუნიციპალიტეტი	3795	1859	1936	1326	657	669	2469	1202	1267	29
დუშეთის მუნიციპალიტეტი	25659	12785	12874	9143	4402	4741	16516	8383	8133	28
ქ. მცხეთა	7940	3719	4221	7940	3719	4221				27
